"altit" "deniv" "cloiso" "domain" "boise" "hetra" "favor" "inexp" "citat" "depart"
"2" "3" "3" "2" "2" "3" "3" "2" "1" "HS"
"1" "2" "1" "2" "1" "1" "2" "2" "2" "HS"
"3" "3" "3" "2" "2" "2" "3" "3" "2" "HS"
"3" "3" "3" "1" "3" "3" "3" "2" "3" "HS"
"3" "3" "1" "2" "2" "3" "2" "3" "1" "S"
"3" "3" "3" "1" "3" "3" "3" "3" "3" "S"
"2" "2" "3" "2" "2" "1" "2" "3" "1" "S"
"1" "1" "2" "2" "1" "1" "3" "2" "2" "S"
"2" "3" "1" "2" "3" "2" "3" "3" "4" "S"
"2" "2" "3" "1" "3" "3" "2" "3" "1" "S"
"1" "1" "1" "1" "1" "1" "2" "2" "1" "S"
"2" "2" "3" "1" "3" "3" "3" "2" "3" "I"
"2" "3" "3" "1" "3" "3" "3" "2" "3" "I"
"1" "3" "2" "2" "1" "1" "1" "3" "2" "I"
"2" "2" "1" "3" "2" "2" "2" "2" "1" "I"
"3" "3" "3" "3" "3" "3" "3" "3" "4" "I"
"3" "1" "3" "3" "3" "3" "3" "1" "4" "D"
"3" "2" "3" "3" "3" "3" "2" "2" "4" "D"
"2" "1" "1" "3" "3" "3" "3" "1" "4" "D"
"2" "1" "1" "2" "2" "2" "1" "1" "2" "D"
"2" "1" "1" "2" "2" "2" "1" "1" "1" "D"
"1" "1" "1" "2" "1" "1" "1" "1" "2" "HP"
"2" "2" "2" "2" "1" "1" "1" "1" "2" "HP"
"1" "1" "3" "3" "1" "1" "1" "1" "1" "HP"
"2" "3" "2" "3" "2" "1" "1" "1" "1" "HP"
"2" "2" "1" "1" "2" "1" "1" "1" "1" "HP"
"2" "2" "3" "1" "1" "1" "1" "1" "1" "HP"
"3" "2" "1" "3" "3" "3" "2" "1" "1" "HP"
"2" "1" "1" "2" "2" "1" "1" "1" "1" "HP"
"1" "1" "3" "3" "1" "1" "2" "1" "1" "AHP"
"3" "1" "3" "3" "2" "3" "2" "1" "1" "AHP"
"3" "2" "3" "3" "2" "1" "2" "1" "1" "AHP"
"3" "2" "3" "3" "2" "1" "1" "1" "1" "AHP"
"3" "1" "3" "1" "3" "3" "1" "1" "1" "AHP"
"1" "2" "3" "3" "1" "1" "1" "1" "1" "AM"
"2" "2" "3" "3" "2" "1" "1" "1" "1" "AM"
"3" "1" "3" "3" "3" "1" "1" "1" "1" "AM"
"2" "3" "3" "3" "2" "1" "2" "2" "1" "AM"
